rank,naics_code,entity_name,cbp_mapping_type,cbp_source_naics_2017_codes,cbp_establishments_2022,cbp_employment_2022,cbp_annual_payroll_usd_2022,cbp_average_annual_pay_usd_2022,bls_establishments_2024,bls_employment_2024,bls_average_annual_pay_usd_2024,bls_employment_growth_pct_2024,bls_pay_growth_pct_2024,sba_size_standard_basis,sba_size_standard_value,sba_size_standard_display,employees_per_establishment,payroll_per_establishment_usd,employment_gap_ratio_bls_to_cbp,fragmentation,operating_complexity,willingness_to_pay,growth,market_scale,workflow_intensity,thesis_fit,software_wedge,rollup_wedge,confidence,workflow_matrix_industry_code,workflow_mapping_type,workflow_coverage_share_pct,workflow_frontline_operator_share_pct,workflow_knowledge_work_share_pct,workflow_documentation,workflow_coordination,workflow_compliance,workflow_care_service,workflow_top_occupations,recommended_move,summary,caveats
134,221122,Electric Power Distribution,direct,221122,8456,354608,44638820000,125882.16,6450,227510,135333,1.7,6.0,employees,1100.0,"1,100 employees",41.94,5278952.22,0.642,59.8,48.2,78.5,70.4,94.2,70.5,30.0,60.7,66.1,85.0,221100,numeric_parent,89.7,68.6,22.5,68.6,71.8,74.3,54.0,Electrical power-line installers and repairers (14.2%)|Power plant operators (5.1%)|Electrical engineers (5.0%),sell,"The structure supports go-to-market attention now, but the software wedge still looks less decisive than the very top build candidates.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | CBP 2022 employment and BLS 2024 private-sector employment differ materially; treat labor scale as directional. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
135,524292,Pharmacy Benefit Management and Other Third-Party Administration of Insurance and Pension Funds,direct,524292,7693,439927,32891524000,74765.87,9685,220662,94678,2.0,4.1,receipts_millions_usd,45.5,$45.50M,57.19,4275513.32,0.502,54.3,62.0,81.8,63.5,94.0,60.4,30.0,60.3,66.1,85.0,524290,numeric_parent,89.8,48.7,39.9,77.0,70.1,68.8,55.0,"Claims adjusters, examiners, and investigators (15.1%)|Customer service representatives (12.5%)|Insurance claims and policy processing clerks (8.2%)",sell,"The structure supports go-to-market attention now, but the software wedge still looks less decisive than the very top build candidates.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | CBP 2022 employment and BLS 2024 private-sector employment differ materially; treat labor scale as directional. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
136,493190,Other Warehousing and Storage,direct,493190,2567,61510,4270495000,69427.65,2710,53442,69032,2.7,4.1,receipts_millions_usd,36.5,$36.50M,23.96,1663613.17,0.869,54.5,55.3,62.0,68.0,66.3,80.5,90.0,66.0,66.0,90.0,493000,broad_parent,93.6,93.6,3.3,60.1,65.6,67.2,57.5,"Laborers and freight, stock, and material movers, hand (22.5%)|Stockers and order fillers (20.7%)|Industrial truck and tractor operators (16.6%)",sell,"The structure supports go-to-market attention now, but the software wedge still looks less decisive than the very top build candidates.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses a broader published BLS parent industry; treat occupation mix as directional rather than exact for this NAICS line."
137,311615,Poultry Processing,direct,311615,519,229548,10071345000,43874.68,832,244770,48634,2.2,4.3,employees,1250.0,"1,250 employees",442.29,19405289.02,1.066,18.2,96.0,89.3,66.3,86.2,80.9,57.0,65.9,59.7,90.0,311600,numeric_parent,92.9,93.2,2.8,61.5,64.9,70.8,56.6,"Meat, poultry, and fish cutters and trimmers (18.6%)|Slaughterers and meat packers (11.2%)|Laborers and freight, stock, and material movers, hand (7.0%)",sell,"The structure supports go-to-market attention now, but the software wedge still looks less decisive than the very top build candidates.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
138,811192,Car Washes,direct,811192,19463,166368,4631256000,27837.42,19736,187502,32560,2.6,4.5,receipts_millions_usd,9.0,$9.00M,8.55,237951.81,1.127,86.5,42.2,6.4,70.2,77.0,80.9,90.0,63.9,65.8,90.0,811190,numeric_parent,89.9,93.3,0.6,62.3,64.1,65.5,57.8,Cleaners of vehicles and equipment (46.5%)|Automotive and watercraft service attendants (12.0%)|Automotive service technicians and mechanics (8.7%),sell,"The structure supports go-to-market attention now, but the software wedge still looks less decisive than the very top build candidates.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
139,624110,Child and Youth Services,direct,624110,14284,221259,9113099000,41187.47,14156,233019,45665,4.4,3.4,receipts_millions_usd,15.5,$15.50M,15.49,637993.49,1.053,76.1,54.2,24.6,71.8,85.2,58.3,82.0,62.3,65.8,90.0,624100,numeric_parent,27.6,40.6,46.0,75.6,74.9,69.6,75.9,"Social and human service assistants (3.9%)|Child, family, and school social workers (2.8%)|Social and community service managers (1.8%)",sell,"The structure supports go-to-market attention now, but the software wedge still looks less decisive than the very top build candidates.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
140,562910,Remediation Services,direct,562910,5852,92113,6713014000,72878.03,8979,98932,82967,1.3,3.2,receipts_millions_usd,25.0,$25.00M,15.74,1147131.58,1.074,68.6,39.3,45.8,53.5,75.3,78.6,82.0,61.5,65.8,90.0,562900,numeric_parent,89.4,85.6,6.5,65.0,69.1,71.8,55.2,Hazardous materials removal workers (17.0%)|Septic tank servicers and sewer pipe cleaners (8.5%)|Heavy and tractor-trailer truck drivers (6.5%),sell,"The structure supports go-to-market attention now, but the software wedge still looks less decisive than the very top build candidates.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
141,561110,Office Administrative Services,direct,561110,37269,564521,47029428000,83308.55,84058,620700,107979,1.5,3.6,receipts_millions_usd,12.5,$12.50M,15.15,1261891.33,1.1,80.2,32.1,28.8,57.4,95.7,63.8,84.0,59.5,65.7,90.0,561100,exact_title,79.7,49.8,26.6,76.0,73.4,68.3,56.8,"General and operations managers (7.9%)|Customer service representatives (6.5%)|Bookkeeping, accounting, and auditing clerks (4.7%)",sell,"The structure supports go-to-market attention now, but the software wedge still looks less decisive than the very top build candidates.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
142,611710,Educational Support Services,direct,611710,11389,127699,7765485000,60810.85,32250,210109,66390,3.0,2.7,receipts_millions_usd,24.0,$24.00M,11.21,681840.81,1.645,80.1,38.5,38.3,62.0,80.3,45.9,62.0,56.5,65.7,85.0,61170P,numeric_parent,68.1,20.4,64.0,73.0,73.9,66.6,62.7,Instructional coordinators (8.1%)|Tutors (7.7%)|General and operations managers (5.1%),sell,"The structure supports go-to-market attention now, but the software wedge still looks less decisive than the very top build candidates.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | CBP 2022 employment and BLS 2024 private-sector employment differ materially; treat labor scale as directional. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
143,513210,Software Publishers,aggregated_2017_to_2022,511210,17438,874707,172774174000,197522.34,96919,636525,219216,-1.8,9.5,receipts_millions_usd,47.0,$47.00M,50.16,9907912.26,0.728,62.1,50.7,92.7,48.3,98.2,42.2,10.0,54.7,65.7,80.0,513200,exact_title,80.1,14.0,66.0,72.6,71.6,68.8,48.8,Software developers (24.1%)|Computer and information systems managers (5.1%)|Computer user support specialists (4.5%),sell,"The structure supports go-to-market attention now, but the software wedge still looks less decisive than the very top build candidates.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | CBP business anchors are aggregated forward from 2017 NAICS into the 2022 definition. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
144,711310,"Promoters of Performing Arts, Sports and Similar Events with Facilities",direct,711310,4178,137839,4909228000,35615.67,4844,139735,49260,12.6,0.9,receipts_millions_usd,40.0,$40.00M,32.99,1175018.67,1.014,55.9,68.1,59.8,71.8,76.2,69.0,52.0,62.9,65.6,90.0,711300,numeric_parent,90.2,69.0,21.8,63.1,68.9,64.9,60.6,"Ushers, lobby attendants, and ticket takers (11.4%)|Laborers and freight, stock, and material movers, hand (8.1%)|Security guards (7.9%)",sell,"The structure supports go-to-market attention now, but the software wedge still looks less decisive than the very top build candidates.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
145,812113,Nail Salons,direct,812113,33802,145402,3676927000,25288.01,33732,150671,26732,2.4,1.5,receipts_millions_usd,9.0,$9.00M,4.3,108778.39,1.036,94.6,32.9,3.5,54.5,73.5,82.0,82.0,61.1,65.6,90.0,812100,numeric_parent,95.0,97.2,0.3,58.1,62.6,60.3,73.3,"Hairdressers, hairstylists, and cosmetologists (34.8%)|Manicurists and pedicurists (19.4%)|Receptionists and information clerks (9.7%)",sell,"The structure supports go-to-market attention now, but the software wedge still looks less decisive than the very top build candidates.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
146,621112,"Offices of Physicians, Mental Health Specialists",direct,621112,13017,61476,4524695000,73601.0,15789,83074,78261,6.3,2.9,receipts_millions_usd,13.5,$13.50M,4.72,347598.91,1.351,90.4,18.4,16.5,74.8,67.0,86.2,78.0,61.0,65.5,85.0,621100,numeric_parent,87.2,91.6,3.7,80.3,73.3,75.4,83.8,Medical assistants (15.5%)|Medical secretaries and administrative assistants (8.9%)|Registered nurses (7.7%),sell,"The structure supports go-to-market attention now, but the software wedge still looks less decisive than the very top build candidates.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | CBP 2022 employment and BLS 2024 private-sector employment differ materially; treat labor scale as directional. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
